CustomerID,Cluster
C0001,3
C0002,7
C0003,7
C0004,0
C0005,3
C0006,6
C0007,3
C0008,0
C0009,1
C0010,4
C0011,6
C0012,0
C0013,2
C0014,1
C0015,1
C0016,4
C0017,0
C0018,3
C0019,6
C0020,1
C0021,2
C0022,4
C0023,2
C0024,0
C0025,7
C0026,3
C0027,6
C0028,2
C0029,4
C0030,4
C0031,7
C0032,1
C0033,1
C0034,4
C0035,3
C0036,1
C0037,7
C0038,7
C0039,7
C0040,4
C0041,0
C0042,1
C0043,1
C0044,1
C0045,2
C0046,0
C0047,0
C0048,3
C0049,4
C0050,3
C0051,2
C0052,7
C0053,7
C0054,2
C0055,3
C0056,4
C0057,2
C0058,1
C0059,0
C0060,1
C0061,1
C0062,1
C0063,1
C0064,6
C0065,0
C0066,3
C0067,4
C0068,2
C0069,3
C0070,6
C0071,6
C0072,4
C0073,6
C0074,1
C0075,2
C0076,7
C0077,1
C0078,1
C0079,7
C0080,1
C0081,7
C0082,5
C0083,1
C0084,2
C0085,3
C0086,7
C0087,2
C0088,4
C0089,1
C0090,0
C0091,3
C0092,4
C0093,5
C0094,6
C0095,1
C0096,3
C0097,1
C0098,4
C0099,5
C0100,0
C0101,2
C0102,2
C0103,7
C0104,0
C0105,2
C0106,7
C0107,4
C0108,4
C0109,5
C0110,1
C0111,4
C0112,3
C0113,0
C0114,3
C0115,3
C0116,7
C0117,7
C0118,3
C0119,3
C0120,3
C0121,6
C0122,0
C0123,1
C0124,0
C0125,3
C0126,6
C0127,3
C0128,1
C0129,1
C0130,1
C0131,6
C0132,6
C0133,7
C0134,4
C0135,6
C0136,0
C0137,6
C0138,7
C0139,6
C0140,1
C0141,5
C0142,6
C0143,4
C0144,1
C0145,5
C0146,3
C0147,0
C0148,3
C0149,4
C0150,1
C0151,1
C0152,7
C0153,6
C0154,7
C0155,2
C0156,5
C0157,3
C0158,7
C0159,7
C0160,7
C0161,2
C0162,0
C0163,0
C0164,7
C0165,5
C0166,7
C0167,1
C0168,3
C0169,4
C0170,7
C0171,6
C0172,7
C0173,0
C0174,6
C0175,5
C0176,1
C0177,6
C0178,7
C0179,7
C0180,1
C0181,7
C0182,7
C0183,4
C0184,4
C0185,1
C0186,3
C0187,7
C0188,2
C0189,7
C0190,3
C0191,6
C0192,3
C0193,6
C0194,0
C0195,7
C0196,7
C0197,3
C0198,1
C0199,3
C0200,4
