CustomerID,Lookalikes
C0001,"[('C0069', 0.9473), ('C0127', 0.8748), ('C0190', 0.848)]"
C0002,"[('C0133', 0.9681), ('C0062', 0.8986), ('C0134', 0.8972)]"
C0003,"[('C0166', 0.9944), ('C0031', 0.9744), ('C0158', 0.9374)]"
C0004,"[('C0090', 0.918), ('C0122', 0.9119), ('C0017', 0.9097)]"
C0005,"[('C0197', 0.9997), ('C0007', 0.9906), ('C0140', 0.8972)]"
C0006,"[('C0135', 0.9132), ('C0187', 0.7755), ('C0185', 0.7256)]"
C0007,"[('C0005', 0.9906), ('C0197', 0.9868), ('C0120', 0.8949)]"
C0008,"[('C0162', 0.9358), ('C0154', 0.8942), ('C0113', 0.8849)]"
C0009,"[('C0198', 0.9187), ('C0029', 0.9179), ('C0033', 0.874)]"
C0010,"[('C0061', 0.9181), ('C0176', 0.9141), ('C0042', 0.9121)]"
C0011,"[('C0126', 0.9552), ('C0171', 0.9067), ('C0193', 0.8851)]"
C0012,"[('C0065', 0.9739), ('C0136', 0.9319), ('C0104', 0.9281)]"
C0013,"[('C0067', 0.9497), ('C0105', 0.941), ('C0102', 0.8476)]"
C0014,"[('C0151', 0.9999), ('C0097', 0.9997), ('C0060', 0.9994)]"
C0015,"[('C0123', 0.9989), ('C0014', 0.9564), ('C0151', 0.9563)]"
C0016,"[('C0183', 1.0), ('C0107', 0.9962), ('C0105', 0.89)]"
C0017,"[('C0075', 0.9551), ('C0090', 0.9417), ('C0194', 0.9305)]"
C0018,"[('C0023', 0.8811), ('C0168', 0.8687), ('C0068', 0.7828)]"
C0019,"[('C0191', 0.9555), ('C0174', 0.8714), ('C0070', 0.8477)]"
C0020,"[('C0130', 0.9987), ('C0180', 0.9653), ('C0095', 0.9507)]"
C0021,"[('C0057', 0.9796), ('C0075', 0.9487), ('C0155', 0.9347)]"
C0022,"[('C0099', 0.935), ('C0145', 0.9248), ('C0200', 0.9014)]"
C0023,"[('C0155', 0.9339), ('C0068', 0.9305), ('C0087', 0.9104)]"
C0024,"[('C0124', 0.8691), ('C0108', 0.8609), ('C0147', 0.855)]"
C0025,"[('C0178', 0.9432), ('C0159', 0.8776), ('C0128', 0.8609)]"
C0026,"[('C0066', 0.8732), ('C0007', 0.8293), ('C0120', 0.8144)]"
C0027,"[('C0094', 0.9216), ('C0132', 0.883), ('C0142', 0.8692)]"
C0028,"[('C0188', 0.9992), ('C0102', 0.9942), ('C0054', 0.909)]"
C0029,"[('C0009', 0.9179), ('C0077', 0.9126), ('C0083', 0.9118)]"
C0030,"[('C0010', 0.9064), ('C0134', 0.8616), ('C0111', 0.8295)]"
C0031,"[('C0166', 0.9927), ('C0003', 0.9744), ('C0159', 0.8905)]"
C0032,"[('C0198', 0.9214), ('C0033', 0.909), ('C0058', 0.8991)]"
C0033,"[('C0058', 0.9993), ('C0150', 0.9979), ('C0180', 0.9655)]"
C0034,"[('C0056', 0.9713), ('C0022', 0.8727), ('C0092', 0.8416)]"
C0035,"[('C0146', 1.0), ('C0005', 0.8911), ('C0197', 0.8908)]"
C0036,"[('C0167', 0.9925), ('C0043', 0.9837), ('C0144', 0.9309)]"
C0037,"[('C0136', 0.9653), ('C0160', 0.9515), ('C0038', 0.9337)]"
C0038,"[('C0160', 0.9986), ('C0037', 0.9337), ('C0136', 0.9121)]"
C0039,"[('C0162', 0.9757), ('C0154', 0.9697), ('C0051', 0.9295)]"
C0040,"[('C0092', 0.8834), ('C0066', 0.802), ('C0044', 0.7625)]"
C0041,"[('C0082', 0.8652), ('C0017', 0.8579), ('C0046', 0.8371)]"
C0042,"[('C0176', 0.9998), ('C0061', 0.9979), ('C0077', 0.9433)]"
C0043,"[('C0036', 0.9837), ('C0167', 0.9544), ('C0144', 0.9191)]"
C0044,"[('C0074', 0.998), ('C0198', 0.8076), ('C0020', 0.803)]"
C0045,"[('C0051', 0.9151), ('C0048', 0.8678), ('C0084', 0.8571)]"
C0046,"[('C0141', 0.9127), ('C0173', 0.9016), ('C0175', 0.9001)]"
C0047,"[('C0081', 0.9328), ('C0116', 0.9252), ('C0172', 0.9153)]"
